sub,Super
alloys,appearance 
chrome,appearance 
color,appearance 
colour,appearance 
exterior ,appearance 
headlight,appearance 
headlights,appearance 
paint,appearance 
rims,appearance 
sunroof,appearance 
wheel,appearance 
wheels,appearance 
cargo,comfort
ergonomics,comfort
interior,comfort
interiors,comfort
leather,comfort
lumbar,comfort
luxurious,comfort
luxury,comfort
room,comfort
seat,comfort
seats,comfort
tall,comfort
thigh,comfort
$,cost
afford,cost
cheap,cost
dollar,cost
expensive,cost
price,cost
carbon,emission
contamina,emission
dirty,emission
environment,emission
exhaust,emission
pollute ,emission
pollution ,emission
economy,mpg
efficien,mpg
efficiency,mpg
efficient,mpg
fuel,mpg
gallon,mpg
gas,mpg
liter,mpg
mileage,mpg
mpg,mpg
4-speed,performance
5-speed,performance
6-speed,performance
7-speed,performance
accelerat,performance
accelerate,performance
acceleration,performance
accelerator,performance
automatic,performance
awd,performance
cvt,performance
cyl,performance
cylinder,performance
cylinders,performance
drivetrain,performance
engine,performance
engines,performance
fast,performance
fwd,performance
handling,performance
horsepower,performance
hp,performance
manual,performance
mph,performance
performance,performance
pick up,performance
pick-up,performance
power,performance
reliability,performance
reliable,performance
responsive,performance
rpm,performance
rwd,performance
slow,performance
speed,performance
sport,performance
sporty,performance
suspension,performance
throttle,performance
torque,performance
transmission,performance
transmissions,performance
turbo,performance
turbocharge,performance
v6,performance
v-6,performance
v8,performance
v-8,performance
accident,safety
airbag,safety
airbags,safety
brakes,safety
bridgestone,safety
danger,safety
goodyear,safety
protect,safety
radial,safety
safe,safety
safety,safety
security,safety
tire,safety
tires,safety
break,sustainability
broken,sustainability
demage,sustainability
fix,sustainability
maintenance,sustainability
problem,sustainability
repair,sustainability
replace,sustainability
replacement,sustainability
service,sustainability
warranties,sustainability
warranty,sustainability
