,date,userid,message
1,January 4,jag2018,Now that it's 2018 what is the money factor and residual value on the 2018 f type coupe 4 cylinder 2.0 liter with 7.5k per month for 39 months?
2,January 4,Michaell,Automatic or stick shift?
3,January 4,awruff1,"Can you give me the money factor/residual value for a 2018 F type coupe 4 cylinder 2.0 liter with auto transmission for 7.5k/39 mo, 10k/39 mo and 12k/39 mo?"
4,January 4,is350atl,"Can I get the current MF/RV for the 2018 V6 F-Type Coupe, automatic, for 10k/year for 33, 36, and 39 months?"
6,January 4,Michaell,39/10 is the best term - 58% and .00021
7,January 4,is350atl,Is this the same for both the 340 hp and 380 hp models?
8,January 4,Michaell,No - I quoted you the 340 numbers
9,January 5,jag2018,Sorry automatic...
11,January 5,jag2018,Thx!
12,January 5,awruff1,"Is this for 36 or 39 months?  Also, can you confirm the MF, one dealer is saying .00132 for a 39 month lease."
13,January 5,Michaell,"Geez, you've really caught me off my game."
14,January 5,awruff1,No worries.  Thanks again for the info.
15,January 11,drewtab,2018 F type R  550. Prices paid   Money factor 39 month money factor and residual. Fort Lauderdale
16,January 11,Michaell,Coupe or convertible?
17,January 12,drewtab,"sorry coupe, 2018 F Type R, money factor, 10K, 39 month"
18,January 12,Michaell,51% and .00027
19,January 16,jag2018,Anyone know why Jaguar refused to build me a 2018 per my specifications?  Said they would not allocate me a 4 cylinder automatic coupe.  Seems odd.  Makes me feel they are way under sold.
20,January 16,kyfdx,"Maybe the dealer is short on allocations, and doesn't want to spend one on a low priced model?"
21,January 17,jag2018,Odd...they wanted a deposit.  Should I try another dealer?
22,January 17,jag2018,So the 2018s are not moving?  Wouldn't that make for some nice offers?
23,January 17,Michaell,Refundable or not?
24,January 17,brewsftk,What are the current numbers for a 400Sport Coupe 39/10? Thanks!
25,January 17,Michaell,RWD or AWD?
26,January 17,brewsftk,My apologies! AWD!
27,January 17,kyfdx,.00018 MF and 54% residual
28,January 17,luis__2020,Can I get January MF & RV numbers for a 2018 F-Type SVR AWD. Looking to see which of the following would provide me with the best rates: 33/36/39 with 10k miles in Los Angeles.
29,January 17,Michaell,"45% and .00027 for 39/10, assuming it's a Coupe"
31,January 4,jag2018,Now that it's 2018 what is the money factor and residual value on the 2018 f type coupe 4 cylinder 2.0 liter with 7.5k per month for 39 months?
32,January 4,Michaell,Automatic or stick shift?
33,January 4,awruff1,"Can you give me the money factor/residual value for a 2018 F type coupe 4 cylinder 2.0 liter with auto transmission for 7.5k/39 mo, 10k/39 mo and 12k/39 mo?"
34,January 4,is350atl,"Can I get the current MF/RV for the 2018 V6 F-Type Coupe, automatic, for 10k/year for 33, 36, and 39 months?"
