0,This seems like a good deal in terms of used entry-level luxury—a 2015 Acura TLX 2.4 with 50k miles for $15.9k:
1,nice color combo on the TLX.  But I really don't like these without the tech package.  At least the 2018s base have a lot more stuff on them.
2,"Yeah, the Tech package for the TLX is expensive (c.$3700 iirc), but it does add some nice stuff—blind spot monitors, cross traffic alert, ELS sound system, Milano leather seats (which even smell nice imho), rain-sensing wipers, built-in navi (which I have used a few times), and AcuraLink concierge (which I've not yet used at all). Plus, as you say, the 2018s and later get CarPlay/AndroidAuto as well as Acurawatch."
3,"If they keep it around in next four-five years, I think I will make myself to put on a hazmat suit and visit our friendly Kia dealer (oh, boy are they horrible here, or what) to check it out.  It's got a lot of good stuff, but seems like they are still behind on a few things, such as relationship between power and gas mileage (e.g. BMW 340/440 has similar performance, but much better gas mileage as a daily driver), but with appropriate price difference, those objections and shortcomings are not insurmountable.  Biggest thing will be the ""first contact"" with a sales person.  Hope it won't start from ""are you buying it today?"", ""what can I do to make you take it home?"", or ""let me wash your BMW - oh, I can't find the keys"", ""How about I show you the deal - square one, two, three, four""."
4,The lease rate is the factor that stops me cold from taking the leap.
5,"Yes, the completely noncomparable M2 would beat the Stinger on track, as would a corvette or sportbike, BTW."
6,Why not a Genesis G70 with a manual?
7,"Again, the local dealer are hopeless at best(What can I do to put ya in a car today, pal?)- and with the well know Hyundai proclivity to void warranties at the drop of a hat I could see problems with using it as my instructor car."
8,"Are you talking about Genesis Dealers or Hyundia dealers?  If you go out to the Genesis web site, I think you will see a completely different type of experience. Just like Infiniti, Lexus and Acura changed the way people looked at Asian cars, Genesis dealers aren't Hyundia dealers. Granted there are no Genesis only dealerships yet, but when Rich and I went and looked at a Genesis G80, the treatment was miles a head of what you get at the Kia or Hyundia salespeople. No pressure they weren't looking to be  your best friend. Just have to wait for the G70 to show up at the dealers."
9,"Thanks, but I am more than aware of the distinction. The dealer group that owns the future Genesis store(and the current Hyundai store) has less than a stellar reputation. I suspect that their Genesis sales ""experience"" would still require me to take a long hot shower afterwards. Not worth my time."
